id,module,name,type,stage,stage_name,gb_principle,citation_text,reg_ids,ds_ids,open_oversight_rec,analytics_technique,applies_to,dmepos,trigger,owner,system_touchpoint,evidence_artifact,frequency,failure_mode
CB-21,Module 03 — Coding & Billing Integrity,High-risk-code monitoring dashboard to compliance/governance,Detective,1,Governance,"P1, P2, P3 (Control Environment)","OIG A-09-22-03010 (2023, OPEN) - molecular pathology (CPT 81408); GAO Green Book (2025) - Standards for Internal Control",REG-070,,,Monitoring,"Providers, billing entities & payers",no,Ongoing monitoring,PI data analyst,BI / analytics dashboard,Governance monitoring pack,Monthly,Emerging coding risk unseen by leadership
CB-22,Module 03 — Coding & Billing Integrity,"Coding-compliance governance: policy, audit plan & SoD from revenue targets",Preventive,1,Governance,"P1, P2, P3 (Control Environment)",OIG Compliance Program Guidance; GAO Green Book (2025) - Standards for Internal Control,,,,Manual / none,"Providers, billing entities & payers",no,Program design / annual review,Compliance officer,Policy repository,SoD matrix + coding-compliance plan,Annual,Revenue pressure driving coding
PA-01,Module 04 — Prior Authorization,Prospective PA-scoping check: match each order against current DMEPOS Required PA List & OPD PA list before delivery/service,Preventive,4,Authorization,"P10, P12",42 CFR 414.234; 42 CFR 410.38,REG-006; REG-007,,,Manual / none,"Ordering providers, DMEPOS suppliers & payers — DMEPOS-specific",yes,Order received for a listed item/service,Intake / PA coordinator,PA workflow + item master,PA-applicability determination,Per order,Furnishing a listed item/service without required PA (auto-denial)
PA-02,Module 04 — Prior Authorization,Master List / Required PA List update governance: monitor annual Federal Register + CMS PA site; refresh item-to-HCPCS mapping,Detective,1,Governance,"P1, P2, P3 (Control Environment)","42 CFR 414.234; Federal Register 2026-00487 (Jan 13, 2026)",REG-007,DS-11,,Manual / none,"Ordering providers, DMEPOS suppliers & payers — DMEPOS-specific",yes,Federal Register update / quarterly,Compliance + coding,Item master / mapping table,List-version change log,Quarterly,Stale PA list misses newly-listed items
PA-03,Module 04 — Prior Authorization,Complete PA package assembly & validation before submission (order + supporting medical records),Preventive,4,Authorization,"P10, P12",42 CFR 410.38; CMS PIM 100-08 (Program Integrity Manual),REG-006,,,Manual / none,"Ordering providers, DMEPOS suppliers & payers",no,Before PA request submission,PA coordinator,Document mgmt / PA portal,PA package checklist,Per request,Insufficient-documentation non-affirmation
PA-04,Module 04 — Prior Authorization,Face-to-face encounter & Written Order Prior to Delivery (WOPD) verification for applicable DMEPOS,Preventive,4,Authorization,"P10, P12",42 CFR 410.38,REG-006,,,Manual / none,"Ordering providers, DMEPOS suppliers & payers — DMEPOS-specific",yes,DMEPOS order for F2F/WOPD item,PA coordinator,EHR / PA portal,F2F note + WOPD on file,Per order,Delivery before a valid written order
PA-05,Module 04 — Prior Authorization,Affirmation/UTN capture & claim linkage: attach Unique Tracking Number to the claim before billing,Detective,4,Authorization,"P10, P12",CMS PIM 100-08 (Program Integrity Manual),,,,Claim-to-pa match,"Ordering providers, DMEPOS suppliers & payers",no,Affirmation received / claim submission,Billing,Claims + PA system,UTN present on claim,Per claim,Billing without an affirmed PA
PA-06,Module 04 — Prior Authorization,Reasonable-and-necessary documentation control per SSA 1862(a)(1)(A) at the medical-necessity determination,Preventive,4,Authorization,"P10, P12",SSA 1862(a)(1)(A); Program Integrity Alliance - Value-for-Money in Anti-Fraud Efforts,,,,Manual / none,"Ordering providers, DMEPOS suppliers & payers",no,PA / coverage determination,Reviewing clinician,Clinical review platform,Medical-necessity rationale record,Per request,Payment for non-covered / unnecessary item
PA-07,Module 04 — Prior Authorization,Continued-medical-necessity re-documentation for rentals/repairs within required timeframe (12-mo PMD) [open OIG rec],Detective,4,Authorization,"P10, P12",CMS PIM 100-08 (Program Integrity Manual); OIG A-09-20-03016 (2022) - PMD repairs (open rec),REG-067,,Yes,Documentation-date edit,"Ordering providers, DMEPOS suppliers & payers — DMEPOS-specific",yes,Repair or rental continuation,Supplier / treating clinician,EHR + supplier records,Timely continued-need record,Per event,Repairs/rentals billed without current need (OIG PMD)
PA-08,Module 04 — Prior Authorization,Item-category documentation-eligibility checklists to prevent insufficient-documentation denials [open OIG rec],Preventive,4,Authorization,"P10, P12",OIG (2025) - intermittent urinary catheters (open rec),,,Yes,Manual / none,"Ordering providers, DMEPOS suppliers & payers",no,PA / claim preparation,PA coordinator,PA portal,Category eligibility checklist,Per request,Denials/overpayments for documentation gaps (OIG catheters)
PA-09,Module 04 — Prior Authorization,Coverage-rule application: apply current NCD/LCD/LCA; internal criteria not more restrictive than Medicare rules [open OIG rec],Preventive,4,Authorization,"P10, P12",SSA 1862(a)(1)(A); OIG OEI-09-18-00260 (2022) - MAO PA denials (open rec),REG-077,,Yes,Manual / none,"Ordering providers, DMEPOS suppliers & payers",no,Medical-necessity review,Medical reviewer / Medical director,Coverage-rules engine,Criteria-to-coverage crosswalk,Per review,Improper denial via over-restrictive plan criteria (OIG MAO)
PA-10,Module 04 — Prior Authorization,Utilization-data sufficiency check before coverage determinations [open OIG rec],Detective,4,Authorization,"P10, P12",OIG (2025) - Part B coverage determinations utilization data (open rec),,,Yes,Data qa,"Ordering providers, DMEPOS suppliers & payers",no,Coverage determination,Medical review / Data,Claims + utilization datamart,Data-completeness attestation,Per determination,Coverage decision made on incomplete data (OIG 2025)
PA-11,Module 04 — Prior Authorization,Decision-timeliness SLA control: standard <=7 cal days; expedited <=72h (payer)/2 bus days (FFS),Detective,4,Authorization,"P10, P12",42 CFR 419 Subpart I (419.81-.83); CMS-0057-F Interoperability & Prior Authorization Final Rule (2024),,,,Sla monitoring,"Ordering providers, DMEPOS suppliers & payers",no,PA request received,PA operations,PA workflow timer,SLA timeliness report,Continuous,Untimely decisions / access-to-care harm (CMS-0057-F)
PA-12,Module 04 — Prior Authorization,Specific denial-reason communication + electronic PA (FHIR API) where required,Preventive,4,Authorization,"P10, P12",CMS-0057-F Interoperability & Prior Authorization Final Rule (2024),,,,Manual / none,"Ordering providers, DMEPOS suppliers & payers",no,Non-affirmation / denial issued,PA operations,PA portal / FHIR PA API,Denial notice with specific reason,Per denial,Vague denials that impede appeal (CMS-0057-F)
PA-13,Module 04 — Prior Authorization,"ABN issuance when non-affirmation/denial is likely, before furnishing the item/service",Preventive,4,Authorization,"P10, P12",CMS ABN (Form CMS-R-131) / SSA 1879,,,,Manual / none,"Ordering providers, DMEPOS suppliers & payers",no,Likely non-covered service,Provider front-desk / supplier,ABN workflow,Signed ABN (CMS-R-131),Per event,Improper beneficiary liability / no advance notice
PA-14,Module 04 — Prior Authorization,PA denial-appropriateness sampling review [open OIG rec],Detective,4,Authorization,"P10, P12",OIG OEI-09-19-00350 (2023) - Medicaid MC PA denials (open rec),REG-078,,Yes,Sampling,"Ordering providers, DMEPOS suppliers & payers",no,Periodic review cycle,Compliance / Medical director,PA system + audit tool,Denial-sample review workpaper,Quarterly,Systemic inappropriate denials undetected (OIG OEI-09-19-00350)
PA-15,Module 04 — Prior Authorization,Automatic external medical review of upheld denials (managed care) [open OIG rec],Corrective,8,Corrective action,"P17, P15",OIG OEI-09-19-00350 (2023) - Medicaid MC PA denials (open rec),REG-078,,Yes,Manual / none,"Ordering providers, DMEPOS suppliers & payers",no,Internal denial upheld,Compliance,External-review referral,External-review disposition,Per upheld denial,Inappropriate denials not independently checked (OIG)
PA-16,Module 04 — Prior Authorization,EPSDT / childrens-services PA policy control (Medicaid) [open GAO rec],Preventive,4,Authorization,"P10, P12",GAO-24-106532 (2024) - Medicaid MC PA for children (open rec),REG-061,,Yes,Manual / none,"Ordering providers, DMEPOS suppliers & payers",no,Pediatric PA policy design,Medical policy,Policy repository,EPSDT PA policy statement,Annual,Improper PA barriers to EPSDT services (GAO-24-106532)
PA-17,Module 04 — Prior Authorization,"PA metrics reporting (volume, approvals/denials, average decision timeframe)",Detective,7,Monitoring,"P16, P11",CMS-0057-F Interoperability & Prior Authorization Final Rule (2024),,,,Reporting,"Ordering providers, DMEPOS suppliers & payers",no,Reporting cycle,PA operations / Compliance,PA analytics / reporting,Published PA metrics report,Annual,No transparency into PA performance (CMS-0057-F)
PA-18,Module 04 — Prior Authorization,Proof-of-delivery / service-vs-affirmation post-payment match,Detective,7,Monitoring,"P16, P11",CMS PIM 100-08 (Program Integrity Manual),,,,Matching,"Ordering providers, DMEPOS suppliers & payers — DMEPOS-specific",yes,Post-payment sample,PI analyst,Claims + POD records,POD-to-PA reconciliation,Monthly,Billing for items not delivered / not matching the PA
PA-19,Module 04 — Prior Authorization,Qualified-clinician medical-necessity denial governance + segregation of duties (no denial solely by algorithm),Preventive,1,Governance,"P1, P2, P3 (Control Environment)",CMS-0057-F Interoperability & Prior Authorization Final Rule (2024); 42 CFR 422.101(c),REG-008,,,Manual / none,"Ordering providers, DMEPOS suppliers & payers",no,Any medical-necessity denial,Medical director / Compliance,Clinical review platform,Clinician sign-off + SoD matrix,Per denial,Improper automated denials (42 CFR 422.101(c))
CD-01,Module 05 — Coverage & Documentation,Coverage-criteria application: identify & apply the current NCD/LCD/LCA and Benefit Policy Manual criteria for each item/service before billing,Preventive,5,Documentation,P10,SSA 1862(a)(1)(A); Medicare Coverage Database (NCD/LCD/LCA),,,,Manual / none,All providers & suppliers submitting claims,no,Service selection / claim prep,Coding / Medical reviewer,Coverage-rules engine + MCD,Coverage-criteria crosswalk,Per service,Billing a service that is not covered / not reasonable-and-necessary
CD-02,Module 05 — Coverage & Documentation,Coverage-policy change monitoring: track the Medicare Coverage Database for new/revised/retired NCD/LCD and refresh internal criteria [open GAO rec],Detective,5,Documentation,P10,"Medicare Coverage Database (NCD/LCD/LCA); GAO-25-107623 (2025, open rec)",REG-063,,Yes,Manual / none,All providers & suppliers submitting claims,no,MCD update / monthly,Compliance + coding,MCD monitor / policy repository,Policy-change log,Monthly,Stale criteria misapply coverage rules (GAO-25-107623)
CD-03,Module 05 — Coverage & Documentation,Reasonable-and-necessary documentation control: the medical record substantiates the R&N basis at the point of service,Preventive,5,Documentation,P10,SSA 1862(a)(1)(A); Medicare Program Integrity Manual (CMS Pub 100-08) Ch.3,REG-041,,,Manual / none,All providers & suppliers submitting claims,no,Encounter documentation,Treating clinician,EHR,R&N-supporting progress note,Per service,Insufficient-documentation improper payment (SSA 1862(a)(1)(A))
CD-04,Module 05 — Coverage & Documentation,Documentation-requirement effectiveness review: validate that internal documentation checklists actually demonstrate coverage compliance (not over/under-documentation) [open GAO rec],Detective,7,Monitoring,"P16, P11","GAO-19-277 (2019, open rec)",REG-056,,Yes,Manual / none,All providers & suppliers submitting claims,no,Annual policy review,Compliance,Policy repository,Doc-requirement effectiveness memo,Annual,Ineffective/burdensome documentation fails to catch improper payments (GAO-19-277)
CD-05,Module 05 — Coverage & Documentation,Item/service-category documentation-eligibility checklist to prevent insufficient-documentation errors [open OIG rec],Preventive,5,Documentation,P10,"CERT Program (Improper Payment Measurement); OIG - intermittent urinary catheters (2025, open rec)",,,Yes,Manual / none,All providers & suppliers submitting claims,no,Claim prep for a high-risk category,Coding / PI,Claim scrubber,Category eligibility checklist,Per claim,Category-specific insufficient-documentation overpayment (OIG catheters)
CD-06,Module 05 — Coverage & Documentation,Signature legibility & attestation control: legible identifiable author signature on each entry; attestation for missing/illegible signatures,Preventive,5,Documentation,P10,Medicare Program Integrity Manual (CMS Pub 100-08) Ch.3,REG-041,,,Manual / none,All providers & suppliers submitting claims,no,Record finalize / audit prep,HIM,EHR signature log,Signature or signature-attestation,Per record,Unsigned/illegible records denied on review (PIM 100-08 Ch.3)
CD-07,Module 05 — Coverage & Documentation,Copy-forward / templated-note control: EHR authorship controls limit cloned documentation so each note reflects the specific encounter,Detective,5,Documentation,P10,42 CFR 424.5(a)(6) (documentation must support services); Medicare Program Integrity Manual (Pub 100-08) ch.3; OIG guidance on cloned/copy-paste documentation,,,,Cloned-note detection,All providers & suppliers submitting claims,no,Note authoring,HIM / Compliance,EHR audit log,Cloned-note audit result,Quarterly,Cloned/templated notes that do not support the billed service
CD-08,Module 05 — Coverage & Documentation,Valid-order verification: a signed physician/practitioner order is on file before the service; order authentication enforced; ordering-physician IDENTITY/NPI authenticated at the authoritative source (NPPES/PECOS) — guards against stolen/forged real-clinician identities,Preventive,5,Documentation,P10,Medicare Benefit Policy Manual (CMS Pub 100-02); 42 CFR 410.32,REG-005; REG-039,,,Source-verification (NPPES/PECOS); Rule-12 source-obtained provenance,All providers & suppliers submitting claims,no,Pre-service intake,Intake / Scheduling,EHR / order management + NPPES/PECOS,Signed order on file + source-verified ordering-provider identity,Per service,"Service furnished without a valid order, or under a stolen/forged clinician identity (42 CFR 410.32)"
CD-09,Module 05 — Coverage & Documentation,Proof-of-delivery / proof-of-service capture and retention with all required elements (DMEPOS),Detective,5,Documentation,P10,Program Integrity Manual (Pub 100-08) Ch.5; 42 CFR 410.38,REG-006; REG-041,,,Pod-to-claim match,All providers & suppliers submitting claims — DMEPOS-specific,yes,Delivery / service event,Supplier operations,POD system,Complete POD record,Per delivery,Billing for items not delivered / POD incomplete (42 CFR 410.38)
CD-10,Module 05 — Coverage & Documentation,"Continued-need / recertification documentation control for ongoing services (home health, DME rental, hospice)",Detective,5,Documentation,P10,Medicare Benefit Policy Manual (CMS Pub 100-02),REG-039,,,Recert-date edit,All providers & suppliers submitting claims — DMEPOS-specific,yes,Recertification interval,Clinician / supplier,EHR,Continued-need / recert note,Per interval,Ongoing services billed without current documented need
CD-11,Module 05 — Coverage & Documentation,Records-retention & retrievability control meeting Medicare minimums,Preventive,5,Documentation,P10,42 CFR 424.516,REG-017,,,Manual / none,All providers & suppliers submitting claims,no,Record creation,HIM,Records management,Retention schedule + index,Continuous,Records unavailable/unretrievable on request (42 CFR 424.516)
CD-12,Module 05 — Coverage & Documentation,ADR / medical-review response-timeliness control: complete and submit documentation within the CMS deadline,Detective,5,Documentation,P10,Medicare Program Integrity Manual (CMS Pub 100-08) Ch.3,REG-041,,,Deadline sla,All providers & suppliers submitting claims,no,ADR received,Compliance / HIM,ADR tracker,ADR response log,Per ADR,Automatic denial/overpayment for non-response (PIM 100-08 Ch.3)
CD-13,Module 05 — Coverage & Documentation,"Amendment / late-entry integrity control: date, author and reason recorded; no overwrite of the original entry",Preventive,5,Documentation,P10,Medicare Program Integrity Manual (CMS Pub 100-08) Ch.3,REG-041,,,Manual / none,All providers & suppliers submitting claims — DMEPOS-specific,yes,Record correction,HIM,EHR versioning,Amendment audit trail,Per amendment,Improper record alteration undermining review (PIM 100-08 Ch.3)
CD-14,Module 05 — Coverage & Documentation,Insufficient-documentation root-cause & corrective-action loop from CERT/RAC/denial trends [open GAO rec],Corrective,8,Corrective action,"P17, P15","CERT Program (Improper Payment Measurement); GAO-19-277 (2019, open rec)",REG-056,,Yes,Denial root-cause,All providers & suppliers submitting claims,no,Error/denial trend detected,Compliance,Denials analytics,CAPA record,Quarterly,Recurring documentation errors left uncorrected (GAO-19-277)
CD-15,Module 05 — Coverage & Documentation,Targeted documentation education for high-risk item/service categories [open OIG rec],Preventive,5,Documentation,P10,"OIG - intermittent urinary catheters (2025, open rec); OIG - psychotherapy incl. telehealth (2023, open rec)",,,Yes,Manual / none,All providers & suppliers submitting claims,no,Risk category identified,Compliance / Education,LMS,Training completion record,As needed,Repeat category-specific documentation errors (OIG catheters/psychotherapy)
CD-16,Module 05 — Coverage & Documentation,Enhanced documentation review for high-cost / high-risk tests and services [open OIG rec],Detective,5,Documentation,P10,"OIG - molecular pathology genetic test (2023, open rec)",,,Yes,High-cost targeting,All providers & suppliers submitting claims,no,High-cost test/service billed,PI / Medical reviewer,Pre-payment edit,Enhanced-review workpaper,Per claim/sample,High-dollar improper payment for unsupported high-cost service (OIG molecular pathology)
CD-17,Module 05 — Coverage & Documentation,Coordination-of-benefits / setting documentation control to prevent duplicate or incorrect payment across benefit periods [open OIG rec],Detective,5,Documentation,P10,"OIG - hospice outpatient services (2024, open rec)",,,Yes,Cob overlap match,All providers & suppliers submitting claims,no,Claim for enrollee in another benefit period,Billing / PI,Eligibility / COB check,COB documentation,Per claim,Duplicate/incorrect payment across settings (OIG hospice outpatient)
CD-18,Module 05 — Coverage & Documentation,"Service-modality documentation control: note and claim modifier support the billed modality (e.g., telehealth/audio-only) [open OIG rec]",Preventive,5,Documentation,P10,"OIG - psychotherapy incl. telehealth (2023, open rec)",,,Yes,Manual / none,All providers & suppliers submitting claims,no,Telehealth/alternate-modality service,Clinician / Billing,EHR / claim modifier,Modality-supporting note + modifier,Per service,Billed modality not supported by the record (OIG psychotherapy telehealth)
CD-19,Module 05 — Coverage & Documentation,"Documentation-integrity governance & metrics: compliance-owned program; quality metrics (error rate, ADR outcomes) reported to governance",Preventive,1,Governance,"P1, P2, P3 (Control Environment)",GAO Green Book 2025 Principles 16–17 (monitoring & remediation of deficiencies); Medicare Program Integrity Manual (Pub 100-08) documentation standards,,,,Metrics reporting,All providers & suppliers submitting claims,no,Reporting cycle,Compliance / CCO,GRC / reporting,Documentation-integrity report,Quarterly,No governance oversight of documentation risk (Green Book P16)
MC-01,Module 06 — Managed Care (Part C/D),"Written FWA compliance plan with 7 required elements, reviewed annually; incl. an independent, protected clinical-refusal path so applying clinicians can decline medically-inappropriate orders without retaliation",Preventive,1,Governance,"P1, P2, P3 (Control Environment)",42 CFR Part 422 (Medicare Advantage / Part C); 42 CFR 422.503(b)(4)(vi),REG-012; REG-031,,,Manual / none,MA (Part C) & Part D plans/sponsors; Medicaid managed care (MC-20),no,Program design / annual review,Compliance officer,Policy repository,Board-approved compliance plan,Annual,Ineffective/absent compliance program (422.503); clinicians pressured to suspend medical judgment (Gehrke/King wound-graft 2025)
MC-02,Module 06 — Managed Care (Part C/D),Compliance officer & committee with governing-body reporting line,Preventive,1,Governance,"P1, P2, P3 (Control Environment)",42 CFR Part 422 (Medicare Advantage / Part C); 42 CFR 422.503(b)(4)(vi),REG-012; REG-031,,,Manual / none,MA (Part C) & Part D plans/sponsors; Medicaid managed care (MC-20),no,Program governance,Governing body,Governance charter,Committee charter + minutes,Quarterly,No high-level oversight of FWA
MC-03,Module 06 — Managed Care (Part C/D),"Annual FWA training for staff, board & FDRs with completion tracking",Preventive,1,Governance,"P1, P2, P3 (Control Environment)",42 CFR 422.503(b)(4)(vi); 42 CFR Part 423 (Medicare Part D),REG-012; REG-032,,,Manual / none,MA (Part C) & Part D plans/sponsors; Medicaid managed care (MC-20),no,Onboarding + annual cycle,Compliance training lead,LMS,Training completion report,Annual,Untrained staff/FDRs miss FWA
MC-04,Module 06 — Managed Care (Part C/D),Pre-submission diagnosis-to-medical-record validation before risk-adjustment submission,Preventive,6,Payment,"P10, P11",42 CFR Part 422 (Medicare Advantage / Part C); 42 CFR 422.310,REG-010; REG-031,,,Diagnosis-to-record linkage,MA (Part C) & Part D plans/sponsors; Medicaid managed care (MC-20),no,Each RA submission cycle,Risk-adjustment / coding lead,Encounter Data System / RA engine,Coding validation log,Per cycle,Unsupported diagnoses inflate risk scores (OIG RADV)
MC-05,Module 06 — Managed Care (Part C/D),Two-directional chart review: submit deletes as well as adds,Detective,7,Monitoring,"P16, P11",42 CFR 422.310; OIG - MA Risk-Adjustment Compliance Audits (Keystone/MCS/Highmark/Presbyterian),REG-010,,,Add/delete balance,MA (Part C) & Part D plans/sponsors; Medicaid managed care (MC-20),no,Chart-review project,RA compliance analyst,RA submission workflow,Add/delete reconciliation report,Per project,Revenue-only chart review (one-directional)
MC-06,Module 06 — Managed Care (Part C/D),Isolate & scrutinize HRA-only / HRA-linked-chart-review diagnoses,Detective,7,Monitoring,"P16, P11",OIG (2024) - Questionable Use of Health Risk Assessments (OPEN rec),,,Yes,Hra-only isolation,MA (Part C) & Part D plans/sponsors; Medicaid managed care (MC-20),no,In-home HRA & linked reviews,RA data analyst,HRA + encounter data,HRA-only diagnosis exception report,Monthly,Unconfirmed HRA diagnoses drive overpayments (OIG 2024 open rec)
MC-07,Module 06 — Managed Care (Part C/D),Annual internal RADV-style validation sample + overpayment refund,Detective,8,Corrective action,"P17, P15",42 CFR 422.310; OIG - MA Risk-Adjustment Compliance Audits (Keystone/MCS/Highmark/Presbyterian),REG-010,,,Statistical sampling,MA (Part C) & Part D plans/sponsors; Medicaid managed care (MC-20),no,Annual / pre-CMS RADV,RA compliance,Sampling + medical review,Internal RADV workpapers,Annual,Undetected risk-score overpayments; RADV extrapolation exposure
MC-08,Module 06 — Managed Care (Part C/D),Coding-intensity & vendor-coder monitoring for abnormal HCC capture,Detective,7,Monitoring,"P16, P11",GAO-16-76 (OPEN recs) - MA RADV & coding intensity,REG-052; REG-055,,Yes,Intensity trend,MA (Part C) & Part D plans/sponsors; Medicaid managed care (MC-20),no,Ongoing RA analytics,RA data analyst,RA analytics platform,Coding-intensity trend report,Quarterly,Aberrant HCC capture / upcoding (GAO-16-76)
MC-09,Module 06 — Managed Care (Part C/D),Special Investigations Unit with documented FWA case workflow,Detective,7,Monitoring,"P16, P11",42 CFR 422.503(b)(4)(vi); Prescription Drug Benefit Manual Pub 100-18 Ch. 9 (FWA),REG-012; REG-043,,,Manual / none,MA (Part C) & Part D plans/sponsors; Medicaid managed care (MC-20),no,FWA lead / referral received,SIU manager,Case-management system,SIU case file + disposition,Continuous,Leads not investigated; fraud persists
MC-10,Module 06 — Managed Care (Part C/D),Routine claims & PDE analytics for aberrant provider/pharmacy billing,Detective,7,Monitoring,"P16, P11",Prescription Drug Benefit Manual Pub 100-18 Ch. 9 (FWA); Program Integrity Alliance - Value-for-Money / GovQuery (PIA Connect),REG-043,,,Outlier detection,MA (Part C) & Part D plans/sponsors; Medicaid managed care (MC-20),no,Scheduled analytics run,PI data analyst,Claims/PDE analytics,Aberrancy alert disposition,Monthly,Aberrant billing undetected
MC-11,Module 06 — Managed Care (Part C/D),"FDR inventory, pre-contract screening & periodic audit",Preventive,7,Monitoring,"P16, P11",42 CFR Part 423 (Medicare Part D); 42 CFR 423.504(b)(4)(vi),REG-015; REG-032,DS-02,,Manual / none,MA (Part C) & Part D plans/sponsors; Medicaid managed care (MC-20),no,New FDR + annual,Vendor/FDR oversight lead,FDR register + audit tool,FDR audit report,Annual,Downstream entity fraud unmonitored (423.504 F)
MC-12,Module 06 — Managed Care (Part C/D),Monthly OIG-LEIE / GSA-SAM exclusion screening of staff & FDRs,Detective,7,Monitoring,"P16, P11",42 CFR 422.503(b)(4)(vi) & 423.504(b)(4)(vi) (Part C/D compliance program — OIG-LEIE/GSA-SAM exclusion screening of employees & FDRs); SSA §1128; OIG Special Advisory Bulletin on the Effect of Exclusion (2013),,DS-01; DS-02,,List matching,MA (Part C) & Part D plans/sponsors; Medicaid managed care (MC-20),no,Monthly batch,Compliance/PI,Exclusion-screening tool,Monthly screening report + hits,Monthly,Excluded party paid via plan or FDR
MC-13,Module 06 — Managed Care (Part C/D),Pharmacy audits (desk & on-site) for non-dispensed / phantom Rx,Detective,7,Monitoring,"P16, P11",42 CFR Part 423 (Medicare Part D); Prescription Drug Benefit Manual Pub 100-18 Ch. 9 (FWA),REG-032; REG-043,,,Pde outliers,MA (Part C) & Part D plans/sponsors; Medicaid managed care (MC-20),no,Risk-based audit plan,Part D SIU / pharmacy audit,PDE + pharmacy records,Pharmacy audit report + recovery,Per plan/cyclic,Billing for undispensed drugs
MC-14,Module 06 — Managed Care (Part C/D),Opioid overutilization monitoring & drug-management program (DMP),Detective,7,Monitoring,"P16, P11",42 CFR 423.153(f),REG-014,,,Overutilization criteria,MA (Part C) & Part D plans/sponsors; Medicaid managed care (MC-20),no,POS + retrospective review,Pharmacy / clinical lead,DUR / DMP system,DMP case & POS-edit log,Continuous,Opioid overutilization / doctor-shopping
MC-15,Module 06 — Managed Care (Part C/D),Formulary administration & rebate-effect monitoring,Detective,7,Monitoring,"P16, P11",42 CFR 423.120; GAO-23-105270 (OPEN rec) - Part D rebates,REG-013; REG-059,,Yes,Formulary/rebate analytics,MA (Part C) & Part D plans/sponsors; Medicaid managed care (MC-20),no,Formulary change / annual bid,Pharmacy benefit / actuarial,Formulary + rebate data,Formulary/rebate review memo,Annual,Rebate-driven formulary distortion (GAO-23-105270 open rec)
MC-16,Module 06 — Managed Care (Part C/D),Agent/broker oversight: rapid-disenrollment & misrepresentation monitoring,Detective,7,Monitoring,"P16, P11","42 CFR 422.2274 & 423.2274 (agent/broker & FDR oversight, rapid-disenrollment compensation recovery); CMS Medicare Communications & Marketing Guidelines (MCMG)",,,,Rapid-disenroll flag,MA (Part C) & Part D plans/sponsors; Medicaid managed care (MC-20),no,Enrollment & complaint data,Sales compliance,Enrollment + complaint system,Agent oversight scorecard,Monthly,Marketing misrepresentation / churn fraud
MC-17,Module 06 — Managed Care (Part C/D),Verify network provider data (HSD tables / directory) submitted to CMS,Preventive,7,Monitoring,"P16, P11",42 CFR Part 422 (Medicare Advantage / Part C); GAO-15-710 (OPEN rec) - MA network oversight,REG-031; REG-054,,Yes,Provider-data validation,MA (Part C) & Part D plans/sponsors; Medicaid managed care (MC-20),no,Network filing & updates,Network management,Provider data / HSD tool,Provider-data validation log,Per filing,Invalid MAO provider data (GAO-15-710 open rec)
MC-18,Module 06 — Managed Care (Part C/D),MLR data compilation & accurate reporting incl. FWA recoveries,Detective,7,Monitoring,"P16, P11",42 CFR 422.2460 / 423.2460,REG-009,,,Manual / none,MA (Part C) & Part D plans/sponsors; Medicaid managed care (MC-20),no,Annual MLR reporting,Finance / actuarial,MLR reporting system,MLR filing + support,Annual,MLR misstatement / unremitted recoveries
MC-19,Module 06 — Managed Care (Part C/D),"60-day overpayment identification, refund & self-disclosure pathway",Preventive,8,Corrective action,"P17, P15",42 CFR 422.326 / 423.360,REG-011,,,Overpayment tracking,MA (Part C) & Part D plans/sponsors; Medicaid managed care (MC-20),no,Overpayment identified,Compliance / finance,Overpayment tracking log,Refund + disclosure record,Continuous,Retained overpayments / FCA exposure
MC-20,Module 06 — Managed Care (Part C/D),"Medicaid managed care PI safeguards: ownership disclosure, screening, encounter integrity",Preventive,7,Monitoring,"P16, P11",42 CFR Part 438 (Medicaid managed care),REG-035,,,Encounter-data checks,MA (Part C) & Part D plans/sponsors; Medicaid managed care (MC-20),no,Medicaid MC contract,Medicaid compliance lead,State + encounter systems,438.608 PI safeguards evidence,Ongoing,Medicaid MCO program-integrity gaps
MC-21,Module 06 — Managed Care (Part C/D),Corrective-action-plan tracking to closure + FWA metrics to board,Detective,8,Corrective action,"P17, P15",42 CFR 423.504(b)(4)(vi),REG-015,,,Manual / none,MA (Part C) & Part D plans/sponsors; Medicaid managed care (MC-20),no,Finding / deficiency raised,Compliance officer,CAP tracker,CAP register + board pack,Quarterly,Findings not remediated; repeat deficiencies
MC-22,Module 06 — Managed Care (Part C/D),"Ancillary/wrap-around benefit-fund disbursement segregation of duties — independent second-approver + beneficiary-eligibility/relationship cross-check before discretionary fund disbursement (gift cards, housing/home-safety support)",Preventive,6,Payment,"P3, P10","42 CFR Part 438 Subpart H (managed-care Additional Program Integrity Safeguards), incl. §438.608; plan HRSF/in-lieu-of-services policy",,,,Recipient-pattern review (employee-linked names/addresses),Managed-care organizations (Part C/D & Medicaid MCOs),no,"Any discretionary ancillary/wrap-around (e.g., HRSF / in-lieu-of-services) disbursement request",MCO compliance + finance,Benefit-fund / disbursement system,Dual-approval record + recipient-pattern review log,Per disbursement + quarterly pattern review,Employee with sole processing authority routing discretionary funds to self/family (CareOregon HRSF 2026 pattern)
